code,name,description,refreshed_at,from_date,to_date
BOM538595,Gloster Ltd EOD Prices,End of Day prices and additional trading information for Gloster Ltd EOD Prices.,14-05-2021 14:19,19-08-2014,24-04-2018
BOM538596,Quantum Build-Tech Ltd EOD Prices,End of Day prices and additional trading information for Quantum Build-Tech Ltd EOD Prices.,14-05-2021 14:19,20-08-2014,07-05-2021
BOM538597,TTI Enterprise Ltd EOD Prices,End of Day prices and additional trading information for TTI Enterprise Ltd EOD Prices.,14-05-2021 14:19,20-08-2014,14-05-2021
BOM538598,Vishal Fabrics Ltd EOD Prices,End of Day prices and additional trading information for Vishal Fabrics Ltd EOD Prices.,14-05-2021 14:19,20-08-2014,14-05-2021
BOM538607,Toyam Industries Ltd EOD Prices,End of Day prices and additional trading information for Toyam Industries Ltd EOD Prices.,14-05-2021 14:19,25-08-2014,14-05-2021
BOM538609,Gajanan Securities Services Ltd EOD Prices,End of Day prices and additional trading information for Gajanan Securities Services Ltd EOD Prices.,14-05-2021 14:19,27-08-2014,21-08-2020
BOM538610,Unison Metals Ltd EOD Prices,End of Day prices and additional trading information for Unison Metals Ltd EOD Prices.,14-05-2021 14:19,28-08-2014,12-05-2021
BOM538611,Real Touch Finance Ltd EOD Prices,End of Day prices and additional trading information for Real Touch Finance Ltd EOD Prices.,14-05-2021 14:19,08-09-2014,14-05-2021
BOM538630,Reliance Mutual Fund - Reliance Capital Builder Fund- Series B - Direct Dvdnd Plan- Dvdnd Pyot O EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund - Reliance Capital Builder Fund- Series B - Direct Dvdnd Plan- Dvdnd Pyot O EOD Prices.,,,
BOM538631,Reliance Mutual Fund- Reliance Capital Builder Fund- Series B - Direct Growth Plan- Growth Option EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund- Reliance Capital Builder Fund- Series B - Direct Growth Plan- Growth Option EOD Prices.,,,
BOM538632,Reliance Mutual Fund- Reliance Capital Builder Fund- Series B - Dividend Plan-dividend Pyut Otin EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund- Reliance Capital Builder Fund- Series B - Dividend Plan-dividend Pyut Otin EOD Prices.,,,
BOM538633,NIPPON INDIA MUTUAL FUND - NIPPON INDIA MUTUAL FUND  Capital Builder Fund- Series B - Growth Plan- Growth Option EOD Prices,End of Day prices and additional trading information for NIPPON INDIA MUTUAL FUND - NIPPON INDIA MUTUAL FUND  Capital Builder Fund- Series B - Growth Plan- Growth Option EOD Prices.,14-05-2021 14:19,27-01-2015,29-11-2017
BOM538634,Vasundhara Rasayans Ltd EOD Prices,End of Day prices and additional trading information for Vasundhara Rasayans Ltd EOD Prices.,14-05-2021 14:19,13-01-2015,14-05-2021
BOM538635,Snowman Logistics Ltd EOD Prices,End of Day prices and additional trading information for Snowman Logistics Ltd EOD Prices.,14-05-2021 14:19,12-09-2014,14-05-2021
BOM538646,QGO Finance Ltd EOD Prices,End of Day prices and additional trading information for QGO Finance Ltd EOD Prices.,14-05-2021 14:19,17-09-2014,11-05-2021
BOM538647,Purshottam Investofin Ltd EOD Prices,End of Day prices and additional trading information for Purshottam Investofin Ltd EOD Prices.,14-05-2021 14:19,17-09-2014,14-05-2021
BOM538648,Icici Prudential Value Fund Series 5 (regular Cumulative Option) EOD Prices,End of Day prices and additional trading information for Icici Prudential Value Fund Series 5 (regular Cumulative Option) EOD Prices.,,,
BOM538649,ICICI Prudential Value Fund Series 5 (Regular Dividend Option) EOD Prices,End of Day prices and additional trading information for ICICI Prudential Value Fund Series 5 (Regular Dividend Option) EOD Prices.,14-05-2021 14:19,08-12-2014,22-12-2016
BOM538650,Icici Prudential Value Fund Series 5 (direct Cumulative Option) EOD Prices,End of Day prices and additional trading information for Icici Prudential Value Fund Series 5 (direct Cumulative Option) EOD Prices.,,,
BOM538651,Icici Prudential Value Fund Series 5 (direct Dividend Option) EOD Prices,End of Day prices and additional trading information for Icici Prudential Value Fund Series 5 (direct Dividend Option) EOD Prices.,,,
BOM538652,Hind Commerce Ltd EOD Prices,End of Day prices and additional trading information for Hind Commerce Ltd EOD Prices.,14-05-2021 14:19,14-01-2016,01-03-2021
BOM538653,Ejecta Marketing Ltd EOD Prices,End of Day prices and additional trading information for Ejecta Marketing Ltd EOD Prices.,14-05-2021 14:19,19-09-2014,14-05-2021
BOM538666,Sharda Cropchem Ltd EOD Prices,End of Day prices and additional trading information for Sharda Cropchem Ltd EOD Prices.,14-05-2021 14:19,23-09-2014,14-05-2021
BOM538667,Sirohia & Sons Ltd EOD Prices,End of Day prices and additional trading information for Sirohia & Sons Ltd EOD Prices.,14-05-2021 14:19,24-09-2014,01-09-2017
BOM538668,Naysaa Securities Ltd EOD Prices,End of Day prices and additional trading information for Naysaa Securities Ltd EOD Prices.,14-05-2021 14:19,25-09-2014,14-05-2021
BOM538674,City Online Services Ltd EOD Prices,End of Day prices and additional trading information for City Online Services Ltd EOD Prices.,14-05-2021 14:19,30-09-2014,27-04-2021
BOM538683,NIPPON INDIA ETF SENSEX EOD Prices,End of Day prices and additional trading information for NIPPON INDIA ETF SENSEX EOD Prices.,14-05-2021 14:19,26-09-2014,14-05-2021
BOM538684,Encash Entertainment Ltd EOD Prices,End of Day prices and additional trading information for Encash Entertainment Ltd EOD Prices.,14-05-2021 14:19,29-09-2014,28-05-2018
BOM538685,Shemaroo Entertainment Ltd EOD Prices,End of Day prices and additional trading information for Shemaroo Entertainment Ltd EOD Prices.,14-05-2021 14:19,01-10-2014,14-05-2021
BOM538706,Ultracab (India) Ltd EOD Prices,End of Day prices and additional trading information for Ultracab (India) Ltd EOD Prices.,14-05-2021 14:19,10-10-2014,14-05-2021
BOM538707,Rajasthan Cylinders & Containers Ltd EOD Prices,End of Day prices and additional trading information for Rajasthan Cylinders & Containers Ltd EOD Prices.,14-05-2021 14:19,17-10-2014,14-05-2021
BOM538708,Econo Trade (India) Ltd EOD Prices,End of Day prices and additional trading information for Econo Trade (India) Ltd EOD Prices.,14-05-2021 14:19,22-10-2014,14-05-2021
BOM538709,SBI Equity Opportunities Fund - Series I- Regular Plan -Growth EOD Prices,End of Day prices and additional trading information for SBI Equity Opportunities Fund - Series I- Regular Plan -Growth EOD Prices.,14-05-2021 14:19,05-06-2015,12-12-2019
BOM538710,SBI Equity Opportunities Fund - Series I-Regular Plan- Dividend Payout EOD Prices,End of Day prices and additional trading information for SBI Equity Opportunities Fund - Series I-Regular Plan- Dividend Payout EOD Prices.,14-05-2021 14:19,06-10-2017,06-01-2020
BOM538711,Sbi Equity Opportunities Fund - Series I-direct Plan -growth EOD Prices,End of Day prices and additional trading information for Sbi Equity Opportunities Fund - Series I-direct Plan -growth EOD Prices.,,,
BOM538712,Sbi Equity Opportunities Fund - Series I-direct Plan - Dividend Payout EOD Prices,End of Day prices and additional trading information for Sbi Equity Opportunities Fund - Series I-direct Plan - Dividend Payout EOD Prices.,,,
BOM538713,Atishay Ltd EOD Prices,End of Day prices and additional trading information for Atishay Ltd EOD Prices.,14-05-2021 14:19,16-10-2014,14-05-2021
BOM538714,Suchitra Finance & Trading Company Ltd EOD Prices,End of Day prices and additional trading information for Suchitra Finance & Trading Company Ltd EOD Prices.,14-05-2021 14:19,21-10-2014,14-05-2021
BOM538715,Dhabriya Polywood Ltd EOD Prices,End of Day prices and additional trading information for Dhabriya Polywood Ltd EOD Prices.,14-05-2021 14:19,17-10-2014,14-05-2021
BOM538716,Aryaman Capital Markets Ltd EOD Prices,End of Day prices and additional trading information for Aryaman Capital Markets Ltd EOD Prices.,14-05-2021 14:19,20-10-2014,10-05-2021
BOM538717,Reliance Capital Builder Fund- Series C - Direct Dividend Plan- Dividend Payout Option EOD Prices,End of Day prices and additional trading information for Reliance Capital Builder Fund- Series C - Direct Dividend Plan- Dividend Payout Option EOD Prices.,,,
BOM538718,Reliance Capital Builder Fund- Series C - Direct Growth Plan- Growth Option EOD Prices,End of Day prices and additional trading information for Reliance Capital Builder Fund- Series C - Direct Growth Plan- Growth Option EOD Prices.,,,
BOM538719,Reliance Mutual Fund- Reliance Capital Builder Fund- Series C - Dividend Plan-Dividend P O EOD Prices,End of Day prices and additional trading information for Reliance Mutual Fund- Reliance Capital Builder Fund- Series C - Dividend Plan-Dividend P O EOD Prices.,14-05-2021 14:19,17-06-2015,28-09-2017
BOM538720,Reliance Capital Builder Fund- Series C - Growth Plan- Growth Option EOD Prices,End of Day prices and additional trading information for Reliance Capital Builder Fund- Series C - Growth Plan- Growth Option EOD Prices.,14-05-2021 14:19,20-02-2015,26-09-2017
BOM538728,ICICI Prudential Growth Fund Series 3 (Regular Plan - Dividend Payout Option) EOD Prices,End of Day prices and additional trading information for ICICI Prudential Growth Fund Series 3 (Regular Plan - Dividend Payout Option) EOD Prices.,14-05-2021 14:19,25-05-2017,02-12-2019
BOM538729,Icici Prudential Growth Fund Series 3 (direct Plan - Dividend Payout Option) EOD Prices,End of Day prices and additional trading information for Icici Prudential Growth Fund Series 3 (direct Plan - Dividend Payout Option) EOD Prices.,,,
BOM538730,PDS Multinational Fashions Ltd EOD Prices,End of Day prices and additional trading information for PDS Multinational Fashions Ltd EOD Prices.,14-05-2021 14:19,21-10-2014,14-05-2021
BOM538731,Hanman Fit Ltd EOD Prices,End of Day prices and additional trading information for Hanman Fit Ltd EOD Prices.,14-05-2021 14:19,21-10-2014,14-05-2021
BOM538732,Vibrant Global Capital Ltd EOD Prices,End of Day prices and additional trading information for Vibrant Global Capital Ltd EOD Prices.,14-05-2021 14:19,21-10-2014,14-05-2021
BOM538733,Starlit Power Systems Ltd EOD Prices,End of Day prices and additional trading information for Starlit Power Systems Ltd EOD Prices.,14-05-2021 14:19,22-10-2014,14-05-2021
BOM538734,Ceinsys Tech Ltd EOD Prices,End of Day prices and additional trading information for Ceinsys Tech Ltd EOD Prices.,14-05-2021 14:19,22-10-2014,14-05-2021
BOM538742,Panache Innovations Ltd EOD Prices,End of Day prices and additional trading information for Panache Innovations Ltd EOD Prices.,14-05-2021 14:19,16-11-2016,14-05-2021
BOM538743,Mudunuru Ltd EOD Prices,End of Day prices and additional trading information for Mudunuru Ltd EOD Prices.,14-05-2021 14:19,14-10-2014,07-05-2021
BOM538755,Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 3 REGULAR GROWTH EOD Prices,End of Day prices and additional trading information for Aditya Birla Sun Life FOCUSED EQUITY FUND - SERIES 3 REGULAR GROWTH EOD Prices.,14-05-2021 14:19,24-12-2015,31-10-2017
