,Date,Open,High,Low,Close,Adj Close,Volume
2227,2006-01-30,9896.459961,9945.19043,9803.679688,9849.030273,9849.030273,29400.0
2228,2006-01-31,9892.230469,9939.549805,9873.370117,9919.889648,9919.889648,18400.0
2229,2006-02-01,9959.240234,9993.919922,9819.320313,9859.259766,9859.259766,19000.0
2230,2006-02-02,9890.900391,9956.099609,9816.009766,9843.870117,9843.870117,19400.0
2231,2006-02-03,9834.969727,9837.740234,9713.509766,9742.580078,9742.580078,16000.0
2232,2006-02-06,9746.089844,10002.830078,9739.709961,9980.419922,9980.419922,21400.0
2233,2006-02-07,9993.389648,10099.580078,9972.429688,10082.280273,10082.280273,19000.0
2234,2006-02-08,10083.530273,10083.530273,9958.549805,10044.820313,10044.820313,17600.0
2235,2006-02-10,10066.360352,10122.25,10057.070313,10110.969727,10110.969727,18600.0
2236,2006-02-13,10132.669922,10182.769531,10096.280273,10173.25,10173.25,15400.0
2237,2006-02-14,10180.509766,10185.05957,10064.459961,10086.629883,10086.629883,21400.0
2238,2006-02-15,10144.900391,10191.969727,10036.009766,10113.179688,10113.179688,24000.0
2239,2006-02-16,10133.419922,10195.419922,10110.459961,10124.299805,10124.299805,15600.0
2240,2006-02-17,10168.549805,10184.040039,9970.0,9981.110352,9981.110352,18800.0
2241,2006-02-20,10002.360352,10092.849609,9896.639648,10079.299805,10079.299805,14800.0
2242,2006-02-21,10108.160156,10195.509766,10108.160156,10168.110352,10168.110352,15000.0
2243,2006-02-22,10179.259766,10237.610352,10157.259766,10224.320313,10224.320313,16000.0
2244,2006-02-23,10268.509766,10304.879883,10228.219727,10244.049805,10244.049805,18800.0
2245,2006-02-24,10256.740234,10271.669922,10177.120117,10200.759766,10200.759766,12800.0
2246,2006-02-27,10214.580078,10296.219727,10109.339844,10282.089844,10282.089844,13000.0
2247,2006-02-28,10308.709961,10422.650391,10206.05957,10370.240234,10370.240234,31800.0
2248,2006-03-01,10368.75,10573.290039,10344.259766,10565.469727,10565.469727,27600.0
2249,2006-03-02,10597.19043,10706.219727,10593.799805,10626.780273,10626.780273,26800.0
2250,2006-03-03,10649.280273,10690.0,10556.030273,10595.429688,10595.429688,17800.0
2251,2006-03-06,10616.990234,10741.589844,10616.990234,10735.360352,10735.360352,21600.0
2252,2006-03-07,10747.870117,10753.129883,10661.620117,10725.669922,10725.669922,24400.0
2253,2006-03-08,10728.389648,10740.599609,10493.910156,10508.849609,10508.849609,27200.0
2254,2006-03-09,10533.889648,10593.080078,10376.540039,10573.540039,10573.540039,24800.0
2255,2006-03-10,10581.639648,10782.339844,10581.639648,10765.160156,10765.160156,18400.0
2256,2006-03-13,10818.94043,10884.480469,10782.530273,10803.709961,10803.709961,15800.0
2257,2006-03-14,10796.820313,10896.389648,10761.219727,10801.719727,10801.719727,22600.0
2258,2006-03-16,10859.389648,10889.25,10830.19043,10878.740234,10878.740234,18400.0
2259,2006-03-17,10902.259766,10951.379883,10844.030273,10860.040039,10860.040039,26400.0
2260,2006-03-20,10903.25,10946.94043,10889.410156,10941.110352,10941.110352,14000.0
2261,2006-03-21,10945.620117,11017.25,10863.610352,10905.200195,10905.200195,16200.0
2262,2006-03-22,10900.019531,10935.089844,10784.419922,10841.349609,10841.349609,19000.0
2263,2006-03-23,10861.950195,10924.290039,10792.980469,10840.589844,10840.589844,14400.0
2264,2006-03-24,10851.799805,10966.05957,10851.799805,10950.299805,10950.299805,21800.0
2265,2006-03-27,10996.360352,11101.419922,10996.360352,11079.019531,11079.019531,22400.0
2266,2006-03-28,11114.429688,11146.849609,11051.129883,11086.030273,11086.030273,19000.0
2267,2006-03-29,11103.870117,11197.639648,11103.870117,11183.480469,11183.480469,17800.0
2268,2006-03-30,11241.780273,11338.660156,11227.820313,11307.040039,11307.040039,23400.0
2269,2006-03-31,11325.959961,11356.950195,11231.160156,11279.959961,11279.959961,17200.0
